year,month,Cy,Gr1,Gr2,Di1,Di2,Go1,Go2,Cr1,Cr2,Mi,He,Om,Pr,temperature,phosphorus
1981,5,787.037037,1344.444444,979.6296296,74324.25926,38877.77778,18185.18519,4588.888889,75444.44444,10074.07407,3912.962963,1837187,64656,0,7.321052632,0.049789474
1981,6,429.6296296,11979.62963,2279.62963,37833.33333,89581.48148,0,9333.333333,220666.6667,25611.11111,2177.777778,523702,55143.08,0,9.231578947,0.049052632
1981,7,4096.296296,91596.48148,12407.88889,57029.62963,90135.18519,122074.0741,15350,144148.1481,12529.62963,2640.740741,1003165,38794,6466,9.657894737,0.054263158
1981,8,488.8888889,48338.88889,12228.88889,32129.62963,272231.4815,165703.7037,8638.888889,35222.22222,6942.592593,3570.37037,243109,18104,5172,9.847368421,0.058526316
1981,9,547022.2222,6127.777778,22125.07407,7625.925926,110692.5926,28888.88889,222.2222222,95962.96296,16435.18519,2201.851852,163259,21013,4848,9.626315789,0.066947368
1981,10,860974.4444,10866.66667,38937.7037,13803.7037,27185.18519,90629.62963,4998.444444,38666.66667,5500,1996.5,166814,5172,3879,8.573684211,0.058368421
1981,11,122603.7037,1409.259259,2701.851852,27007.40741,144478.5185,6111.111111,1957.740741,17296.2963,4259.259259,2122.222222,70825.15,3880,0,7.210526316,0.059315789
1981,12,18424.07407,5340.740741,6516.666667,6629.62963,168335.9259,4222.222222,488.8888889,88037.03704,4266.666667,2420.37037,250869,0,0,4.726315789,0.067578947
1982,1,5333.333333,833.3333333,3170.37037,13428.61852,127500.5963,8592.592593,0,52333.33333,5750,4100,298114,8857,0,4.631578947,0.064368421
1982,2,6598.148148,748.1481481,2324.074074,18907.40741,106635.0407,26037.03704,2453.703704,52518.51852,1775.925926,3457.407407,200687,23766,0,4.105263158,0.068631579
1982,3,8931.481481,1175.925926,1151.851852,145074.0741,108035.1852,41518.51852,9705.555556,165444.4444,514.8148148,2044.444444,114990,21300,0,3.763157895,0.053842105
1982,4,4181.481481,1211.111111,1598.148148,558805.5556,85229.62963,89518.51852,8988.888889,264037.037,2898.148148,5520.37037,291750,0,0,4.489473684,0.050157895
