time,predator_abundance,prey1_abundance,prey2_abundance,dilution,replicate
20,12000,921067,1465333,0.5,5
21,8800,1046667,3003933,0.5,5
22,21000,1004800,1360667,0.5,5
23,11867,1339733,2396867,0.5,5
24,8400,732667,1873533,0.5,5
25,9667,533800,1486267,0.5,5
26,13200,1915400,3265600,0.5,5
27,11933,889667,2156133,0.5,5
28,9467,1475800,3642400,0.5,5
29,11800,1161800,2794600,0.5,5
30,11800,858267,1004800,0.5,5
31,15600,1653733,3904067,0.5,5
32,12733,962933,1957267,0.5,5
33,12200,439600,2375933,0.5,5
34,11933,533800,3035333,0.5,5
35,10133,690800,2920200,0.5,5
36,11400,617533,2103800,0.5,5
37,11067,471000,774533,0.5,5
38,11533,512867,2051467,0.5,5
39,12733,491933,2941133,0.5,5
40,11467,648933,2595733,0.5,5
41,8600,900133,3391200,0.5,5
0,100,100000,100000,0.75,1
1,629.6296296,2232888.889,3028355.556,0.75,1
2,1851.851852,3223733.333,3042311.111,0.75,1
3,5407.407407,1165288.889,690800,0.75,1
4,5666.666667,2177066.667,1060622.222,0.75,1
5,5259.259259,2149155.556,1116444.444,0.75,1
6,5185.185185,2323600,1200177.778,0.75,1
7,5962.962963,2372444.444,1290888.889,0.75,1
8,5814.814815,2435244.444,1179244.444,0.75,1
9,5666.666667,2491066.667,1116444.444,0.75,1
10,5777.777778,2463155.556,1074577.778,0.75,1
11,5592.592593,2351511.111,1256000,0.75,1
12,5481.481481,2246844.444,1053644.444,0.75,1
13,5444.444444,2204977.778,1123422.222,0.75,1
14,5481.481481,2281733.333,1088533.333,0.75,1
15,5259.259259,2302666.667,955955.5556,0.75,1
16,5370.37037,2358488.889,983866.6667,0.75,1
17,5370.37037,2323600,983866.6667,0.75,1
18,5444.444444,2372444.444,969911.1111,0.75,1
19,5000,2274755.556,983866.6667,0.75,1
20,5185.185185,2365466.667,955955.5556,0.75,1
21,5037.037037,2351511.111,928044.4444,0.75,1
22,5407.407407,2379422.222,914088.8889,0.75,1
23,5111.111111,2393377.778,886177.7778,0.75,1
24,5592.592593,2407333.333,914088.8889,0.75,1
25,5185.185185,2232888.889,942000,0.75,1
26,5148.148148,2309644.444,900133.3333,0.75,1
27,5185.185185,2414311.111,914088.8889,0.75,1
0,100,100000,100000,0.9,1
1,407.4074074,2184044.444,2686444.444,0.9,1
2,2000,2672488.889,2009600,0.9,1
3,1925.925926,767555.5556,1423466.667,0.9,1
4,4481.481481,2142177.778,48844.44444,0.9,1
5,4148.148148,2316622.222,41866.66667,0.9,1
6,4333.333333,2463155.556,34888.88889,0.9,1
